Time Stamp,Acceleration
19202812,-0.9243
19204684,-0.9165
19206556,-0.9165
19208432,-0.9243
19210304,-0.9282
19212176,-0.9204
19214044,-0.9204
19215908,-0.9282
19217780,-0.9321
19219656,-0.9282
19221524,-0.9282
19223400,-0.9321
19225276,-0.9282
19227152,-0.9321
19229028,-0.9321
19230900,-0.9204
19232760,-0.9243
19234640,-0.9282
19236512,-0.9282
19238388,-0.9243
19240264,-0.9282
19242136,-0.9282
19244000,-0.9165
19245876,-0.9087
19247748,-0.9243
19249616,-0.9243
19251488,-0.9321
19253360,-0.9282
19255232,-0.936
19257100,-0.936
19258964,-0.9282
19260836,-0.9204
19262704,-0.9399
19264576,-0.9399
19266448,-0.9165
19268324,-0.9204
19270192,-0.9282
19272068,-0.9282
19273940,-0.9243
19275812,-0.9165
19277684,-0.9165
19279564,-0.9282
19281436,-0.9243
19283308,-0.9243
19285180,-0.9243
19287052,-0.9243
19288924,-0.9282
19290800,-0.9282
19292676,-0.9282
19294548,-0.936
19296416,-0.9243
19298284,-0.9321
19300160,-0.9321
19302040,-0.9282
19303916,-0.9282
19305788,-0.9243
19307668,-0.9243
19309532,-0.9204
19311404,-0.9126
19313276,-0.9321
19315160,-0.9321
19317032,-0.9165
19318904,-0.9282
19320776,-0.9282
19322652,-0.9204
19324520,-0.936
19326384,-0.9282
19328260,-0.9282
19330132,-0.9243
19332004,-0.9243
19333884,-0.9282
19335756,-0.9282
19337628,-0.9321
19339508,-0.9282
19341376,-0.9204
19343244,-0.9204
19345112,-0.9282
19346976,-0.9165
19348852,-0.9243
19350724,-0.9243
19352596,-0.9243
19354468,-0.9126
19356348,-0.936
19358220,-0.936
19360092,-0.9321
19361968,-0.9165
19363832,-0.9165
19365712,-0.9204
19367584,-0.9243
19369452,-0.9165
19371324,-0.9165
19373204,-0.9243
19375068,-0.9165
19376944,-0.9204
19378816,-0.9204
19380676,-0.9282
19382552,-0.9282
19384424,-0.936
19386292,-0.936
19388156,-0.9321
19390024,-0.9243
19391896,-0.9243
19393772,-0.9243
19395644,-0.9243
19397516,-0.9204
19399392,-0.9204
19401252,-0.9204
19403124,-0.9282
19404996,-0.9282
19406868,-0.9282
19408744,-0.936
19410612,-0.9165
19412480,-0.9243
19414352,-0.9243
19416228,-0.9204
19418088,-0.9243
19419968,-0.9282
19421844,-0.9282
19423708,-0.936
19425580,-0.9204
19427452,-0.9282
19429324,-0.9282
19431200,-0.9048
19433068,-0.9282
19434936,-0.9282
19436812,-0.9282
19438684,-0.9282
19440556,-0.9438
19442424,-0.9438
19444288,-0.9204
19446160,-0.9204
19448028,-0.9126
